key,value
7  8  2  1  3  4  9  6  0, 0.    -0.001  0.     0.   
7  8  2  1  3  0  9  6  4,0.       0.       0.009995 0.      
7  8  2  1  0  3  9  6  4, 0.          0.005       0.         -0.00099505
7  0  2  1  8  3  9  6  4,0.    0.    0.    0.005
7  2  0  1  8  3  9  6  4,0.009995 0.       0.       0.      
7  2  3  1  8  0  9  6  4, 0.         -0.00099505 -0.001       0.        
7  2  3  1  0  8  9  6  4, 0.005 -0.001  0.     0.   
7  0  3  1  2  8  9  6  4,0.005 0.    0.    0.   
7  2  3  1  6  8  9  0  4,0.       0.       0.       0.009995
7  2  3  1  6  8  9  4  0, 0.          0.005      -0.00099505  0.        
7  2  3  1  6  0  9  4  8,0.       0.       0.009995 0.      
7  2  3  1  0  6  9  4  8, 0.          0.         -0.001      -0.00099505
7  2  3  0  1  6  9  4  8,-0.001  0.005  0.     0.   
7  2  3  9  1  6  0  4  8,0.    0.005 0.    0.   
0  2  3  7  1  6  9  4  8, 0.     0.     0.    -0.001
2  0  3  7  1  6  9  4  8,0.009995 0.       0.       0.      
2  1  3  7  0  6  9  4  8, 0.009995   -0.00099505  0.          0.        
2  1  3  7  4  6  9  0  8, 0.         -0.00099505  0.005       0.        
2  1  3  7  4  6  0  9  8,0.    0.005 0.    0.   
2  1  3  0  4  6  7  9  8, 0.    -0.001  0.     0.   
0  1  3  2  4  6  7  9  8,0.       0.       0.       0.009995
1  0  3  2  4  6  7  9  8,-0.001       0.         -0.00099505 -0.00199405
1  3  0  2  4  6  7  9  8,0.       0.       0.009995 0.      
1  4  3  2  0  6  7  9  8,-0.001       0.          0.01997002 -0.00199405
1  4  3  2  9  6  7  0  8, 0.          0.005      -0.00199404  0.07447727
1  4  3  2  9  6  7  8  0, 0.         -0.01438019 -0.01430697  0.        
1  4  3  2  9  0  7  8  6, 0.07447727 -0.001       0.005       0.        
1  4  3  2  9  6  0  7  8, 0.         -0.001       0.          0.01001478
1  4  3  0  9  6  2  7  8,0.005 0.    0.    0.   
1  4  0  2  9  3  7  8  6, 0.00502963  0.         -0.001       0.        
1  0  4  2  9  3  7  8  6,-0.001  0.     0.     0.005
1  9  4  2  0  3  7  8  6, 0.     0.     0.    -0.001
1  9  4  2  3  0  7  8  6,0.005      0.01997992 0.         0.        
1  9  4  2  3  6  7  8  0, 0.         -0.00099505  0.          0.        
1  9  0  2  3  4  7  8  6,-0.00296734  0.          0.009995    0.        
1  0  9  2  3  4  7  8  6, 0.005       0.          0.         -0.00099505
1  3  9  2  0  4  7  8  6,0.         0.         0.03489517 0.        
1  3  9  0  2  4  7  8  6,-0.00591097 -0.00591097  0.         -0.00588142
1  3  9  7  2  4  0  8  6, 0.         0.0299251  0.        -0.001    
1  3  9  7  2  4  8  0  6,0.    0.    0.005 0.   
0  3  9  1  2  4  7  8  6, 0.02495005  0.          0.         -0.001     
3  0  9  1  2  4  7  8  6,0.009995 0.       0.       0.      
3  2  9  1  0  4  7  8  6,-0.001      -0.00099505 -0.001       0.        
3  2  9  1  8  4  7  0  6, 0.     0.005 -0.001 -0.001
3  2  9  1  8  4  7  6  0,0.    0.    0.005 0.   
3  2  9  1  8  4  0  7  6,0.    0.    0.    0.005
3  2  9  0  1  4  7  8  6, 0.    -0.001  0.     0.   
0  2  9  3  1  4  7  8  6, 0.     0.     0.    -0.001
2  0  9  3  1  4  7  8  6,0.01498501 0.         0.         0.        
2  1  9  3  0  4  7  8  6, 0.         -0.00198416  0.          0.005     
2  1  9  3  4  0  7  8  6,0.         0.01498501 0.         0.        
2  1  0  3  4  9  7  8  6,-0.00198416  0.         -0.001       0.        
2  0  1  3  4  9  7  8  6,0.       0.       0.009995 0.      
0  2  1  3  4  9  7  8  6, 0.005       0.          0.         -0.00099505
3  2  1  0  4  9  7  8  6,0.    0.    0.    0.005
3  2  1  4  0  9  7  8  6, 0.    -0.001  0.     0.   
3  0  1  4  2  9  7  8  6,0.    0.    0.005 0.   
0  3  1  4  2  9  7  8  6,-0.00298216  0.          0.          0.        
4  3  1  0  2  9  7  8  6,-0.001     0.009995  0.       -0.001   
4  3  1  7  2  9  0  8  6,0.    0.005 0.    0.   
4  3  1  2  0  9  7  8  6, 0.    -0.001  0.    -0.001
4  0  1  2  3  9  7  8  6,0.005 0.    0.    0.   
4  3  1  2  9  0  7  8  6, 0.    -0.001  0.     0.   
4  3  0  2  9  1  7  8  6,0.       0.       0.009995 0.      
4  0  3  2  9  1  7  8  6,-0.001       0.         -0.001      -0.00099505
0  4  3  2  9  1  7  8  6,0.    0.    0.    0.005
4  9  3  2  0  1  7  8  6,-0.001  0.     0.005  0.   
4  9  3  2  8  1  7  0  6, 0.     0.005 -0.001 -0.001
4  9  3  2  8  1  7  6  0, 0.    -0.001  0.005  0.   
4  9  3  2  8  0  7  6  1,0.005 0.    0.    0.   
4  9  3  2  8  1  0  7  6,0.    0.    0.    0.005
4  9  3  0  2  1  7  8  6,0.         0.01498501 0.         0.        
0  9  3  4  2  1  7  8  6,-0.00198416  0.          0.         -0.001     
9  0  3  4  2  1  7  8  6, 0.009995  0.        0.       -0.001   
9  3  0  4  2  1  7  8  6,0.         0.         0.00999995 0.        
9  2  3  4  0  1  7  8  6, 0.     0.    -0.001  0.005
9  2  3  0  4  1  7  8  6,0. 0. 0. 0.
5  6  2  3  1  4  7  0  9, 0.          0.          0.         -0.00099505
5  6  2  3  1  4  7  9  0, 0.    -0.001  0.005  0.   
5  6  2  3  1  0  7  9  4, 0.     0.    -0.001  0.   
5  6  2  3  0  1  7  9  4,-0.001  0.005  0.     0.   
5  6  2  3  9  1  7  0  4, 0.     0.005 -0.001  0.   
5  6  2  3  9  1  0  7  4,0.    0.    0.    0.005
5  0  2  3  6  1  7  9  4,0.    0.    0.    0.005
5  2  0  3  6  1  7  9  4,0.005 0.    0.    0.   
5  2  1  3  6  0  7  9  4,0.005 0.    0.    0.   
5  2  1  3  6  4  7  9  0,0.         0.         0.01498501 0.        
5  2  1  3  6  4  7  0  9, 0.         -0.00783401 -0.00591097 -0.00198416
5  2  1  3  0  4  7  6  9, 0.03489517 -0.001       0.005       0.        
5  2  1  3  6  4  0  7  9, 0.        -0.001      0.         0.0299251
5  2  1  0  6  4  3  7  9,0.005 0.    0.    0.   
5  2  1  0  3  4  7  6  9,-0.001       0.          0.         -0.00098023
5  2  1  7  3  4  0  6  9, 0.     0.005  0.    -0.001
5  2  1  7  3  4  6  0  9, 0.         -0.001       0.005      -0.00199405
